state,x,y
Andhra Pradesh,-73.0,-183.0
Arunachal Pradesh,239.0,150.0
Assam,213.0,103.0
Bihar,75.0,73.0
Chhattisgarh,-4.0,-24.0
Goa,-187.0,-168.0
Gujarat,-243.0,14.0
Haryana,-132.0,157.0
Himachal Pradesh,-114.0,222.0
Jharkhand,57.0,27.0
Karnataka,-146.0,-188.0
Kerala,-132.0,-286.0
Madhya Pradesh,-98.0,8.0
Maharashtra,-158.0,-76.0
Manipur,253.0,68.0
Meghalaya,176.0,76.0
Mizoram,227.0,27.0
Nagaland,263.0,104.0
Odisha,52.0,-51.0
Punjab,-151.0,194.0
Rajasthan,-188.0,97.0
Sikkim,124.0,125.0
Tamil Nadu,-79.0,-275.0
Telangana,-74.0,-107.0
Tripura,198.0,32.0
Uttar Pradesh,-55.0,105.0
Uttarakhand,-72.0,180.0
West Bengal,124.0,20.0
